x,y
404,504
404,515
405,532
407,549
411,565
412,582
414,598
420,615
426,634
433,654
441,673
449,690
458,705
465,718
470,728
477,739
484,749
491,758
496,764
502,772
509,780
518,787
524,796
533,802
539,809
547,815
554,822
560,826
566,831
572,834
577,837
588,842
598,845
610,849
627,854
646,860
665,864
687,870
708,874
729,877
752,881
776,885
799,887
822,887
851,887
884,887
918,887
951,887
980,887
1009,887
1038,887
1073,886
1103,884
1130,880
1158,873
1186,867
1219,857
1254,845
1289,830
1325,814
1352,798
1376,783
1394,767
1405,754
1414,739
1420,727
1421,713
1421,701
1419,682
1413,665
1407,646
1398,626
1386,607
1374,589
1361,572
1347,555
1333,537
1320,520
1306,502
1293,487
1279,471
1264,458
1249,445
1231,433
1216,420
1201,406
1186,395
1170,384
1155,370
1140,359
1125,347
1110,336
1097,325
1081,313
1068,302
1058,295
1047,288
1037,283
1027,278
1012,272
998,269
981,263
964,259
947,256
930,252
914,250
900,250
881,250
860,250
837,250
809,250
780,250
742,250
702,252
666,256
625,264
588,272
556,279
528,285
504,291
481,295
459,301
440,308
421,314
401,322
386,331
371,341
359,350
345,363
336,376
327,389
320,404
312,418
307,433
303,445
298,460
292,473
287,487
283,500
281,514
280,533
280,547
281,570
284,589
290,610
296,632
304,651
313,670
325,686
336,701
347,712
362,723
380,735
402,747
423,757
447,762
471,768
498,775
526,781
558,788
585,792
608,798
630,802
649,806
665,809
680,811
694,815
706,817
721,820
732,820
749,820
767,820
791,820
814,820
839,819
863,815
886,811
908,806
929,800
950,794
969,788
989,780
1006,773
1023,763
1038,754
1051,743
1062,732
1071,721
1080,706
1088,691
1093,679
1097,664
1100,650
1104,633
1110,616
1117,599
1123,580
1129,558
1135,537
1140,516
1167,423
1169,411
1171,399
1173,387
1173,375
1173,363
1172,349
1170,339
1167,329
1160,321
1157,315
1153,311
1149,307
1145,303
1140,297
1136,291
1130,284
1121,278
1111,271
1098,265
1086,260
1071,252
1056,247
1041,241
1027,236
1012,230
999,225
990,223
980,222
970,218
958,217
946,215
931,213
915,211
901,211
882,211
861,211
838,211
813,211
787,211
759,211
734,211
705,211
677,211
648,211
619,211
593,211
568,211
542,211
517,211
489,211
459,212
437,216
418,220
402,224
389,229
379,234
369,239
360,246
355,254
348,265
343,277
338,288
332,300
327,315
325,329
325,346
325,366
326,390
330,411
334,432
340,454
352,479
362,498
372,518
383,535
395,550
408,566
419,579
430,592
443,603
456,612
469,619
477,626
483,631
492,635
500,640
508,647
519,656
532,667
542,674
553,681
563,688
574,693
580,698
586,703
590,707
593,711
595,714
598,718
600,722
602,726
604,730
606,734
608,738
610,742
612,746
615,747
618,748
622,751
631,752
644,756
660,758
681,759
702,759
730,759
759,759
788,759
817,759
846,759
871,759
897,759
922,759
948,759
976,759
1001,759
1022,759
1041,759
1057,759
1071,759
1083,759
1095,759
1103,757
1108,756
1114,753
1118,749
1122,743
1129,734
1137,728
1148,719
1159,710
1170,701
1180,692
1185,686
1190,678
1195,670
1198,659
1202,647
1202,638
1202,621
1202,603
1202,584
1203,563
1203,545
1203,526
1203,505
1203,486
1201,468
1195,448
1187,431
1178,414
1166,397
1155,382
1143,366
1134,354
1123,343
1110,331
1100,323
1087,313
1074,304
1061,295
1046,288
1034,280
1023,273
1015,267
1007,263
996,258
988,255
981,252
973,249
963,247
951,247
932,247
909,247
878,247
839,247
801,247
758,247
713,251
669,254
631,254
588,254
545,254
501,257
464,264
432,268
404,275
383,281
368,286
358,291
352,296
346,301
343,306
338,314
333,325
327,340
324,356
318,375
312,395
306,416
302,439
298,461
297,482
295,500
295,517
295,533
297,552
303,569
311,588
319,607
328,625
340,642
353,657
366,671
379,682
394,693
412,707
431,718
451,730
473,742
495,752
523,763
549,774
570,781
595,790
616,793
637,797
658,799
679,801
698,801
721,801
744,801
770,798
797,794
821,790
840,784
852,779
863,774
869,767
873,761
880,751
888,738
897,723
906,708
918,691
930,673
939,658
946,643
952,631
957,618
963,606
970,591
977,578
985,564
992,549
1004,531
1017,514
1033,494
1050,473
1064,453
1075,436
1085,419
1092,404
1096,392
1097,380
1099,367
1099,358
1099,346
1098,332
1097,320
1093,310
1088,299
1083,289
1076,279
1067,268
1054,259
1044,252
1031,244
1016,237
1001,231
989,226
974,221
964,217
956,214
946,211
941,209
937,209
928,208
923,206
915,205
905,205
891,205
873,205
850,205
824,205
799,206
775,208
752,212
728,216
709,219
690,223
676,229
661,234
646,240
634,245
624,250
615,259
606,270
599,280
592,295
584,310
575,327
563,342
552,358
542,373
529,388
518,403
510,420
502,437
499,454
493,471
491,490
491,506
492,527
494,548
500,572
508,593
515,612
523,630
533,647
544,662
557,677
569,690
579,699
592,708
607,716
622,725
637,735
654,742
673,750
698,760
728,772
759,783
792,793
829,800
861,807
898,815
925,819
949,821
970,823
986,823
1002,823
1016,823
1031,822
1045,820
1057,817
1072,811
1087,806
1101,798
1112,789
1121,779
1128,768
1133,758
1139,745
1144,733
1151,718
1159,701
1167,681
1172,662
1178,641
1184,620
1190,596
1194,572
1196,551
1200,530
1203,511
1207,492
1207,476
1207,460
1207,443
1207,427
1207,411
1203,394
1197,377
1191,362
1188,348
1182,333
1175,320
1164,307
1151,296
1136,283
1116,269
1096,257
1077,247
1053,239
1027,229
1003,223
980,217
956,213
933,211
910,209
891,207
874,207
860,207
846,207
830,207
814,207
797,207
776,210
755,214
731,220
702,224
670,228
638,235
601,243
569,250
536,257
512,263
493,266
477,272
462,278
449,285
441,293
432,304
421,317
413,332
405,349
402,366
398,385
392,404
390,425
388,448
388,469
388,492
391,516
395,539
401,561
405,580
413,601
422,621
434,640
446,660
455,677
465,694
479,712
492,727
510,743
527,756
544,770
566,780
591,790
624,799
658,809
695,816
742,827
783,835
818,838
848,840
871,840
897,840
922,840
945,840
968,840
989,839
1006,837
1023,833
1037,831
1052,828
1066,822
1083,815
1100,809
1117,801
1137,794
1151,786
1169,777
1179,770
1190,761
1201,748
1210,733
1218,713
1228,692
1236,670
1244,646
1253,617
1263,579
1273,541
1283,503
1291,466
1295,439
1301,416
1303,395
1304,374
1304,355
1304,337
1304,320
1304,301
1300,287
1293,272
1285,259
1276,249
1264,239
1246,230
1227,220
1205,210
1182,204
1155,198
1127,192
1100,188
1073,184
1047,182
1024,182
999,182
971,182
942,182
908,182
879,182
850,182
820,183
797,185
776,189
752,192
731,196
708,200
681,206
653,213
620,220
595,228
576,236
563,245
